repo,dir,row_count
CDCgov/covid19-forecast-hub,model-output,677833
CDCgov/covid19-forecast-hub,target-data,690
HopkinsIDD/rsv-forecast-hub,model-output,936546
HopkinsIDD/rsv-forecast-hub,target-data,10431116
ai4castinghub/hospitalization-forecast,model-output,35684
ai4castinghub/hospitalization-forecast,target-data,155
ai4castinghub/rvdss-forecast,model-output,86753
ai4castinghub/rvdss-forecast,target-data,392
cdcepi/FluSight-forecast-hub,model-output,9055150
cdcepi/FluSight-forecast-hub,target-data,8322
cdphmodeling/wnvca-2024,model-output,61147
european-modelling-hubs/RespiCast-Covid19,model-output,161266
european-modelling-hubs/RespiCast-Covid19,target-data,76434
european-modelling-hubs/RespiCast-SyndromicIndicators,model-output,829632
european-modelling-hubs/RespiCast-SyndromicIndicators,target-data,159028
european-modelling-hubs/RespiCompass,model-output,197586720
european-modelling-hubs/RespiCompass,target-data,64168
european-modelling-hubs/ari-forecast-hub,model-output,219024
european-modelling-hubs/ari-forecast-hub,target-data,262033
european-modelling-hubs/flu-forecast-hub,model-output,408207
european-modelling-hubs/flu-forecast-hub,target-data,416786
hubverse-org/flusight_hub_archive,model-output,29364474
reichlab/flu-metrocast,model-output,1464
reichlab/flu-metrocast,target-data,6008
reichlab/variant-nowcast-hub,model-output,59393166
reichlab/variant-nowcast-hub,target-data,1877772
